argument,RaspberryPi3B|Raspbian,RaspberryPi3B|Ubuntu,ODROID-XU3,ZYBO
1,94419431,104453952,44795524,137716868
2,47267969,52235312,22209431,69076792
3,37650598,41720598,17986252,73027002
4,28283128,31356344,13861594,71620741
5,28278403,28683089,13597034,69596475
6,26211568,28909854,10773508,69653775
7,26962887,29015228,10816207,69661289
8,25200185,27729291,10364368,69693135
9,24279898,26392791,10117977,72759414
10,23928123,26399119,9625294,69606118
11,24121074,26457943,10146997,69601662
12,24191051,26774298,9493290,69604621
13,23981891,26123778,9687055,69605806
14,24437024,26475678,9632026,69608454
15,24438292,26178565,9582380,69612500
16,24535998,26607815,9637158,69607136